,username,retweetCount,replyCount,followersCount
557,ArtsJournalNews,8.0,0.0,17932.0
3630,PaulCBrunson,8.0,3.0,109269.0
1513,EdithdeRoos,8.0,0.0,660.0
6738,instofideas,8.0,0.0,16243.0
6039,djrgrey,8.0,0.0,3936.0
653,Bakare_Mubarakk,8.0,1.0,4313.0
1410,DrDamages,8.0,1.0,46578.0
6093,drszucker,8.0,0.0,5581.0
4443,TempleUniv,8.0,0.0,158613.0
225,Adomonline,8.0,3.0,480312.0
3990,Rwakakamba,8.0,0.0,35556.0
5074,adamscrabble,8.0,0.0,75796.0
8000,politicaltours,8.0,0.0,1645.0
3904,ReleGallery,8.0,2.0,2778.0
7075,knchimbiri,8.0,0.0,1036.0
7991,pmnewsnigeria,8.0,5.0,646165.0
4215,SizweMpofuWalsh,8.0,2.0,82687.0
8378,shirtology,8.0,0.0,197.0
2213,JDevermont,8.0,2.0,12984.0
1772,FulaniBelle,8.0,0.0,1138.0
6844,jens2go,8.0,0.0,12403.0
1957,Hamza_Africa,8.0,0.0,103722.0
6999,katecmorrison,8.0,0.0,1205.0
2585,LAkintobi,8.0,0.0,11146.0
1044,Citi973,8.0,6.0,1280441.0
4195,SimonAStephens,8.0,2.0,4939.0
396,AmazingAyo,8.0,0.0,3598.0
1140,CultureTraffic,8.0,1.0,8970.0
2628,Larissa_Borck,8.0,5.0,2164.0
4020,SNPdavid,8.0,0.0,7785.0
6882,joantilou,8.0,1.0,8368.0
5656,buyuafrika,8.0,3.0,201.0
288,Africarevolt,8.0,1.0,33095.0
7487,morakinyo1tunde,8.0,1.0,3492.0
5156,ahistoryinart,8.0,3.0,10653.0
4254,Sophie_NytSky,8.0,0.0,2749.0
3975,Rovingheights,8.0,1.0,17859.0
153,ASCLeiden,8.0,0.0,10336.0
134,AO1379,8.0,0.0,81703.0
1004,ChimweMal,8.0,1.0,761.0
7285,mai_mit_trema,8.0,1.0,2490.0
1695,FemiMind,8.0,2.0,3586.0
8980,wienerlibrary,8.0,0.0,18048.0
6788,jabberworks,8.0,1.0,22724.0
2851,MacJordaN,8.0,2.0,20581.0
7808,omoagbametala,8.0,0.0,1147.0
421,AncientHouseMus,8.0,0.0,3413.0
995,ChidiOdinkalu,8.0,3.0,100723.0
1084,Columbia,8.0,0.0,405993.0
8411,skepticafro,8.0,4.0,1664.0
3105,MrCDHamilton,8.0,0.0,2138.0
904,CPFoodMarket,8.0,1.0,5592.0
3813,RADIOLAAB,7.0,0.0,15.0
407,AmnestyNigeria,7.0,1.0,246473.0
2204,Ivy_Marshall,7.0,6.0,1326.0
4166,SherrondaJBrown,7.0,1.0,6756.0
3844,RadioNational,7.0,0.0,92630.0
3021,MickWhitleyMP,7.0,1.0,11125.0
6671,iamderinolar,7.0,1.0,569.0
