,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
3047,enrichment – nauru,1,0.0019926303,0.0017367322,0.002442175,0.0014328512,0.0028171376,0.019944636,0.013459709,0.004129992,0.32405016,0.10430829,0.16339791,0.35046273,0.009824999,"GreaterEuropean,WestEuropean,Italian",Non-African
3048,enrico dandolo,1,0.00085032266,0.00093394564,0.0011206579,0.023420801,0.0001679584,0.04053243,0.00039058496,0.0048756725,0.010541064,0.0017018418,0.019085243,0.8962071,0.00017246019,"GreaterEuropean,WestEuropean,Italian",Non-African
3049,ensor,1,0.0029692908,0.00891632,0.0015753136,0.020341504,0.0318554,0.25994116,0.0064388257,0.07007384,0.025301285,0.01991789,0.06628162,0.025862826,0.46052477,"GreaterEuropean,WestEuropean,Nordic",Non-African
3050,doric,1,0.0021964237,0.003257353,0.0017416999,0.002711399,0.0045018997,0.17081359,0.021070762,0.0270612,0.5874018,0.009097314,0.06559765,0.10265844,0.0018903342,"GreaterEuropean,WestEuropean,French",Non-African
3051,donn,1,0.0065195174,0.0077585718,0.016381375,0.0070707235,0.0041728453,0.7860403,0.01593927,0.04067423,0.03081259,0.046835255,0.01737393,0.0106803235,0.009741151,"GreaterEuropean,British",Non-African
3052,de france,1,0.0025800574,0.0015416192,0.0031014371,0.0008690923,0.004237155,0.08455171,0.0024371974,0.006411195,0.85362726,0.001426308,0.026712995,0.010689468,0.0018144811,"GreaterEuropean,WestEuropean,French",Non-African
3053,de passe,1,0.00054609234,9.9876044e-05,0.0011619701,0.0024240133,0.004082216,0.040970523,0.00088234287,0.0047184653,0.72522366,0.049171757,0.08593827,0.048272222,0.036508594,"GreaterEuropean,WestEuropean,French",Non-African
3054,de philae,1,0.00070585957,0.0013216012,0.015387346,0.0023052066,0.0022830234,0.16491635,0.0070067258,0.016061364,0.2594971,0.09061647,0.013756165,0.42341927,0.0027235083,"GreaterEuropean,WestEuropean,Italian",Non-African
3055,de proprietaire,1,0.0011977215,0.000672398,0.0013804502,0.0018688521,0.0021415085,0.082203574,0.0007997056,0.0021224755,0.8557302,0.0030036145,0.029823711,0.017849585,0.0012062798,"GreaterEuropean,WestEuropean,French",Non-African
3056,de quai branly,1,0.0021346782,0.0045329933,0.0007519939,0.0013865919,0.0013742908,0.35132974,0.0022234302,0.00276708,0.4783973,0.011143971,0.07569117,0.06509013,0.0031766281,"GreaterEuropean,WestEuropean,French",Non-African
3057,de rosette,1,0.00027649972,0.0007735135,0.00075085234,0.00056516647,0.00096662546,0.08362744,0.0009512428,0.004471517,0.8173894,0.00369469,0.046864416,0.034841634,0.0048269364,"GreaterEuropean,WestEuropean,French",Non-African
3058,de sainte-marie,1,0.008967409,0.0039653983,0.007037442,0.0017701206,0.00019307007,0.60177016,0.00062501634,0.010203934,0.34047723,0.007669562,0.004045113,0.012600791,0.0006747477,"GreaterEuropean,British",Non-African
3059,de seignelay,1,7.518939e-05,9.7787335e-05,0.0022030652,0.0016028238,0.00020276601,0.049348783,0.0002453436,0.0040792273,0.89651054,0.0024532746,0.028784508,0.014308282,8.8523804e-05,"GreaterEuropean,WestEuropean,French",Non-African
3060,de syene,1,0.0019506807,0.00036175514,0.002107535,0.0013245426,0.0014598287,0.05549382,0.0014843068,0.0007494994,0.8898324,0.0014704486,0.016886188,0.02366964,0.0032094938,"GreaterEuropean,WestEuropean,French",Non-African
3061,de tiyi,1,0.0212847,0.0005908251,0.078716554,0.01475842,0.27378306,0.044303883,0.13922958,0.09754915,0.051931437,0.1587444,0.023408562,0.0025907096,0.093108684,"GreaterAfrican,Muslim",African
3062,de vabres,1,0.0020815574,0.0007187069,0.026224697,0.0008269048,0.0022081034,0.49697828,0.0047307964,0.029936822,0.27257425,0.025535632,0.0835987,0.026696404,0.027889116,"GreaterEuropean,British",Non-African
3063,de valencay guimet,1,0.00042833504,8.660906e-05,0.00038864807,0.00010915705,0.00035331812,0.113755345,0.00020968741,0.0026900913,0.86085427,0.0007834202,0.017145975,0.0029878572,0.000207389,"GreaterEuropean,WestEuropean,French",Non-African
3064,debate,1,0.0027289868,0.0005785477,0.0032009804,0.022332449,0.0100398455,0.074251726,0.0048305853,0.015687069,0.7919859,0.008089253,0.015874544,0.044083208,0.006316936,"GreaterEuropean,WestEuropean,French",Non-African
3065,deborah,1,0.00062635343,0.00042027843,0.105151065,0.5308014,0.11954313,0.12324824,0.001724233,0.06290194,0.02022081,0.00568108,0.0059480565,0.010087784,0.0136456415,"GreaterAfrican,Africans",African
